,節,開催日,Team,awayTeam,homeScore,awayScore,H or A_x,AGI_x,KAGI_x,CBP_x,shot_x,shot acc_x,possession_x,ACBP_x,PassCBP_x,InterceptP_x,DP_x,H or A_y,AGI_y,KAGI_y,CBP_y,shot_y,shot acc_y,possession_y,ACBP_y,PassCBP_y,InterceptP_y,DP_y
582,8,8.1,大分,鹿島,1,4,H,26,58,5.9%,7,14.3%,49.8%,9.46,8.48,96.8,11.74,A,42,74,13.2%,16,25.0%,50.2%,14.76,13.84,86.01,11.91
120,8,8.1,浦和,清水,1,1,H,55,39,10.6%,12,8.3%,42.1%,12.95,10.02,105.01,18.8,A,61,45,9.5%,11,9.1%,57.9%,21.71,16.67,87.77,13.94
200,8,8.1,FC東京,鳥栖,2,3,H,61,55,10.3%,12,16.7%,51.2%,19.63,13.65,73.04,10.42,A,45,39,13.3%,14,21.4%,48.8%,13.15,9.67,77.4,14.74
46,8,8.1,仙台,横浜FM,0,1,H,48,41,7.3%,9,0.0%,31.7%,7.74,5.57,102.71,25.31,A,59,52,12.1%,17,5.9%,68.3%,25.97,20.39,97.73,11.2
452,9,8.9,Ｃ大阪,FC東京,0,0,H,58,37,8.3%,9,0.0%,57.1%,16.86,15.3,86.9,10.15,A,63,42,16.7%,18,0.0%,42.9%,15.11,11.17,84.97,17.14
380,9,8.8,名古屋,浦和,6,2,H,47,54,18.3%,19,31.6%,50.9%,17.51,14.66,79.95,13.9,A,46,53,11.3%,11,18.2%,49.1%,17.94,15.44,83.3,9.57
246,9,8.8,横浜FM,柏,1,1,H,73,62,13.9%,17,5.9%,64.9%,31.58,27.38,104.52,8.71,A,38,27,9.6%,11,9.1%,35.1%,6.08,4.58,68.02,26.17
528,9,8.9,広島,湘南,1,0,H,73,69,20.9%,24,4.2%,54.6%,29.66,23.45,99.28,14.94,A,31,27,4.8%,5,0.0%,45.4%,11.94,11.37,61.35,17.22
340,9,8.8,清水,札幌,3,1,H,58,51,20.4%,22,13.6%,49.4%,18.8,15.14,68.82,12.74,A,49,42,13.0%,14,7.1%,50.6%,16.56,13.37,67.38,13.15
424,9,8.8,Ｇ大阪,横浜FC,2,1,H,62,58,14.3%,14,14.3%,51.9%,22.64,19.38,72.99,9.92,A,42,38,16.8%,16,6.3%,48.1%,15.07,13.6,64.1,18.22
478,9,8.8,神戸,仙台,1,2,H,62,61,22.3%,23,4.3%,63.1%,26.19,17.72,57.16,8.25,A,39,38,10.6%,10,10.0%,36.9%,11.18,7.56,50.89,18.19
236,9,8.8,川崎Ｆ,大分,2,0,H,60,100,18.8%,18,11.1%,48.2%,20.13,17.17,107.95,3.14,A,0,40,5.0%,4,0.0%,51.8%,10.61,10.51,63.35,13.95
98,9,8.8,鹿島,鳥栖,2,0,H,49,55,8.8%,10,20.0%,45.3%,12.76,11.49,83.54,10.06,A,45,51,5.0%,6,0.0%,54.7%,11.91,11.44,88.21,13.62
190,10,8.15,FC東京,名古屋,1,0,H,56,59,13.6%,14,7.1%,42.5%,15.18,13.25,75.49,12.98,A,41,44,6.9%,7,0.0%,57.5%,16.21,14.16,61.28,8.73
160,10,8.15,柏,Ｃ大阪,1,3,H,75,70,19.8%,22,4.5%,55.6%,24.88,20.28,115.86,5.99,A,30,25,5.7%,6,33.3%,44.4%,8.56,7.56,54.0,24.61
